ESCENARIO: Palabras codigo de 5 digitos

FUENTE:
S1 -- Codigo: 01010	 | 	 Probabilidad: 0.02968	 | 	 Cant. de informacion: 5.07424
S2 -- Codigo: 10100	 | 	 Probabilidad: 0.03048	 | 	 Cant. de informacion: 5.03617
S3 -- Codigo: 10010	 | 	 Probabilidad: 0.03508	 | 	 Cant. de informacion: 4.83323
S4 -- Codigo: 00010	 | 	 Probabilidad: 0.03492	 | 	 Cant. de informacion: 4.83978
S5 -- Codigo: 10110	 | 	 Probabilidad: 0.03111	 | 	 Cant. de informacion: 5.00643
S6 -- Codigo: 00100	 | 	 Probabilidad: 0.0319	 | 	 Cant. de informacion: 4.97008
S7 -- Codigo: 00110	 | 	 Probabilidad: 0.03349	 | 	 Cant. de informacion: 4.90004
S8 -- Codigo: 01011	 | 	 Probabilidad: 0.02937	 | 	 Cant. de informacion: 5.08975
S9 -- Codigo: 11100	 | 	 Probabilidad: 0.03159	 | 	 Cant. de informacion: 4.98451
S10 -- Codigo: 11010	 | 	 Probabilidad: 0.03032	 | 	 Cant. de informacion: 5.04371
S11 -- Codigo: 01001	 | 	 Probabilidad: 0.03	 | 	 Cant. de informacion: 5.05889
S12 -- Codigo: 00000	 | 	 Probabilidad: 0.03254	 | 	 Cant. de informacion: 4.94166
S13 -- Codigo: 00101	 | 	 Probabilidad: 0.03286	 | 	 Cant. de informacion: 4.92765
S14 -- Codigo: 10001	 | 	 Probabilidad: 0.02794	 | 	 Cant. de informacion: 5.1617
S15 -- Codigo: 11101	 | 	 Probabilidad: 0.03159	 | 	 Cant. de informacion: 4.98451
S16 -- Codigo: 11110	 | 	 Probabilidad: 0.02905	 | 	 Cant. de informacion: 5.10544
S17 -- Codigo: 01000	 | 	 Probabilidad: 0.02968	 | 	 Cant. de informacion: 5.07424
S18 -- Codigo: 10101	 | 	 Probabilidad: 0.03111	 | 	 Cant. de informacion: 5.00643
S19 -- Codigo: 11111	 | 	 Probabilidad: 0.02937	 | 	 Cant. de informacion: 5.08975
